This file was created by CMPT_VAR_RETS using the 201712 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on VAR.

The portfolios are constructed at the end of each month.

The residual return variance is measured over 60 days up to formation monthend requiring at least 20 non-missing daily returns.  
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weighted Returns -- Monthly
,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
196402,    798.87,    416.44,    189.95,     75.59,     28.50,   1157.84,    437.17,    507.22,    323.63,    227.92,    151.43,     96.63,     55.29,     45.44,     22.32
196403,    921.58,    343.34,    179.49,     77.69,     26.76,   1109.41,    718.61,    457.38,    219.87,    234.64,    131.38,     89.80,     67.06,     41.22,     21.77
196404,    938.49,    338.31,    158.64,     83.94,     27.84,   1306.79,    553.20,    460.84,    221.87,    168.84,    147.93,    107.54,     60.48,     52.22,     19.19
196405,   1026.45,    241.89,    156.03,     80.10,     25.12,   1571.20,    465.45,    310.35,    182.71,    176.01,    134.40,     91.44,     69.29,     47.11,     16.30
196406,   1038.35,    247.70,    161.45,     82.71,     28.25,   1421.09,    631.87,    284.54,    212.35,    200.27,    123.45,    103.63,     65.00,     58.38,     17.35
196407,   1016.89,    292.89,    145.91,     80.51,     29.23,   1465.12,    537.87,    300.72,    285.11,    147.36,    144.50,     88.31,     73.69,     64.63,     16.80
196408,    948.15,    356.89,    169.26,     82.31,     27.61,   1416.65,    437.69,    474.38,    246.95,    188.60,    150.83,    113.02,     58.81,     59.93,     16.64
196409,    981.39,    282.66,    161.09,     88.34,     27.11,   1517.38,    422.42,    291.69,    273.96,    177.19,    146.93,    117.26,     63.63,     54.59,     15.86
196410,   1029.60,    288.70,    170.05,     99.30,     27.10,   1538.62,    501.72,    314.98,    262.60,    160.85,    179.12,    124.74,     77.22,     58.26,     16.10
196411,    996.45,    326.13,    170.79,     97.84,     25.03,   1501.83,    487.43,    394.16,    254.08,    176.60,    164.73,    119.70,     79.84,     55.67,     14.81
196412,    856.33,    450.25,    182.18,     87.84,     24.62,   1319.12,    403.18,    596.64,    309.20,    184.95,    179.39,    109.00,     69.25,     54.28,     14.52
196501,    981.57,    309.25,    194.60,    105.28,     26.43,   1361.07,    588.31,    417.30,    210.96,    253.07,    142.14,    141.97,     69.04,     49.60,     18.12
196502,   1035.93,    335.38,    193.94,    109.70,     25.73,   1451.41,    578.89,    448.01,    221.95,    206.57,    181.56,    147.82,     77.12,     50.00,     17.06
196503,   1077.83,    311.51,    191.37,    108.54,     24.91,   1647.58,    495.41,    390.82,    239.55,    203.35,    178.49,    122.01,     94.99,     42.67,     18.49
196504,   1116.45,    304.14,    189.37,     98.10,     24.20,   1707.67,    497.73,    391.48,    220.46,    206.11,    173.10,    129.56,     74.10,     43.73,     16.15
196505,   1139.72,    359.80,    172.89,    114.53,     24.26,   1668.47,    602.84,    336.72,    383.24,    186.57,    159.59,    149.28,     83.86,     44.54,     17.59
196506,   1031.99,    438.93,    198.13,    100.59,     23.51,   1450.76,    603.56,    596.66,    291.56,    198.10,    198.17,    130.47,     76.69,     42.91,     16.88
196507,    982.47,    400.48,    167.93,    102.31,     22.24,   1375.62,    597.93,    554.40,    243.07,    188.09,    147.34,    124.81,     80.20,     41.23,     15.11
196508,   1074.95,    270.49,    178.48,    102.65,     24.26,   1497.23,    658.71,    321.62,    220.44,    182.27,    174.81,    135.51,     74.24,     43.35,     15.91
196509,   1020.64,    311.89,    210.16,     93.29,     26.93,   1577.46,    467.72,    360.84,    267.60,    230.20,    193.52,     97.46,     89.41,     44.64,     18.52
196510,    987.37,    347.78,    250.69,     89.95,     31.32,   1489.55,    466.99,    389.67,    304.08,    268.17,    232.97,    123.41,     62.99,     62.44,     18.48
196511,    997.63,    371.42,    250.82,    102.15,     29.42,   1517.20,    496.10,    430.80,    314.07,    331.23,    171.47,    120.06,     86.83,     51.13,     19.67
196512,   1060.23,    374.08,    212.80,    106.51,     32.85,   1455.56,    661.99,    397.28,    350.37,    208.54,    217.13,    119.82,     95.63,     60.32,     21.50
196601,   1067.65,    396.69,    191.61,    116.13,     36.66,   1516.30,    612.50,    431.66,    360.70,    198.46,    184.72,    154.79,     86.48,     67.18,     22.50
196602,   1029.70,    421.04,    226.20,    122.01,     36.88,   1368.31,    673.40,    504.47,    338.82,    280.31,    174.58,    140.17,    107.16,     65.48,     25.03
196603,   1036.69,    380.15,    226.09,    123.31,     37.65,   1517.81,    552.06,    404.60,    356.53,    272.89,    182.09,    145.24,    104.13,     56.20,     29.58
196604,   1034.46,    322.68,    223.64,    123.64,     40.28,   1425.64,    611.17,    368.25,    275.07,    263.49,    185.29,    131.10,    117.38,     68.16,     27.83
196605,    952.63,    411.48,    215.11,    130.57,     44.64,   1538.98,    370.33,    399.06,    424.36,    262.33,    169.47,    158.75,    106.01,     82.86,     30.77
196606,    951.51,    338.36,    208.72,    113.69,     44.44,   1341.87,    529.82,    356.56,    319.09,    264.10,    158.48,    135.19,     95.33,     86.03,     28.03
196607,    921.74,    354.25,    189.90,    125.95,     42.75,   1268.51,    591.82,    428.52,    283.03,    263.46,    126.34,    138.91,    114.03,     76.07,     29.83
196608,    879.94,    335.62,    204.45,    111.17,     45.71,   1086.47,    652.46,    366.44,    306.45,    273.12,    137.61,    119.06,    103.57,     88.90,     27.09
196609,    762.12,    291.74,    167.62,    127.89,     41.84,   1062.44,    429.34,    354.99,    228.92,    190.19,    146.08,    160.89,     97.95,     79.07,     25.41
196610,    714.40,    290.12,    193.29,    129.00,     43.29,   1005.02,    395.92,    314.63,    266.56,    211.46,    174.40,    164.87,     97.38,     95.14,     22.68
196611,    746.12,    293.13,    221.24,    118.82,     44.56,    872.98,    605.54,    294.40,    291.72,    252.08,    189.81,    136.97,    102.01,     93.77,     21.73
196612,    729.38,    344.64,    207.47,    128.01,     44.92,    889.58,    553.83,    353.84,    335.75,    231.58,    183.36,    171.21,     93.87,     92.77,     24.06
196701,    796.66,    330.57,    220.60,    128.17,     33.84,   1016.31,    540.68,    389.96,    279.07,    221.64,    219.63,    181.92,     87.29,     63.23,     21.10
196702,    946.84,    340.28,    238.24,    132.14,     33.50,   1195.32,    673.32,    359.36,    321.98,    265.77,    209.37,    151.57,    115.11,     53.29,     24.73
196703,   1029.31,    338.17,    219.08,    117.91,     33.36,   1272.21,    788.11,    357.30,    319.69,    287.06,    158.71,    161.37,     79.08,     56.23,     23.13
196704,   1099.19,    353.49,    220.42,    119.88,     35.91,   1453.35,    747.58,    392.44,    318.33,    259.65,    184.57,    156.42,     93.09,     59.73,     25.98
196705,   1097.64,    424.09,    258.81,    111.63,     38.14,   1450.39,    734.27,    475.56,    374.71,    259.36,    258.25,    129.53,     96.49,     68.62,     26.53
196706,    950.13,    494.26,    242.74,    114.80,     36.49,   1285.45,    607.36,    594.31,    389.71,    272.36,    216.64,    136.44,     94.92,     55.29,     28.60
196707,    955.84,    500.73,    274.55,    106.67,     40.94,   1377.86,    539.94,    473.41,    526.35,    330.36,    224.14,    130.36,     86.69,     75.73,     26.96
196708,   1050.48,    424.92,    325.99,    126.84,     43.85,   1060.04,   1040.64,    424.01,    425.82,    398.15,    256.32,    164.22,     95.15,     78.47,     30.09
196709,   1099.72,    379.49,    292.27,    148.09,     41.92,    970.83,   1238.61,    420.32,    336.87,    275.46,    308.30,    193.88,    109.52,     65.62,     31.35
196710,   1096.22,    430.16,    282.51,    152.13,     44.98,   1043.25,   1153.66,    424.17,    436.33,    333.62,    236.72,    182.63,    123.13,     70.13,     33.64
196711,   1096.00,    388.15,    248.75,    148.94,     47.45,   1496.18,    689.98,    418.55,    359.93,    252.59,    245.01,    180.46,    117.25,     79.84,     34.35
196712,   1016.32,    456.55,    236.91,    156.25,     50.60,   1464.55,    564.90,    510.38,    404.67,    253.27,    220.78,    201.17,    116.06,     85.41,     34.98
196801,   1049.19,    452.67,    290.94,    160.15,     53.01,   1566.88,    545.78,    520.69,    385.14,    277.36,    303.73,    200.04,    126.32,     72.78,     43.68
196802,   1099.09,    382.43,    262.35,    157.34,     50.82,   1425.04,    746.60,    444.39,    321.86,    297.10,    229.25,    209.64,    113.72,     68.73,     42.22
196803,   1061.63,    417.82,    222.76,    145.40,     48.00,   1398.54,    683.25,    460.87,    373.77,    250.44,    194.33,    176.41,    119.92,     72.02,     37.85
196804,   1078.80,    376.06,    244.41,    132.77,     52.96,   1574.55,    533.47,    445.00,    314.63,    276.96,    213.87,    148.83,    119.95,     86.53,     38.92
196805,   1151.26,    421.83,    267.67,    153.67,     60.85,   1666.52,    632.23,    525.89,    316.98,    258.10,    276.61,    191.10,    120.25,     95.99,     45.01
196806,   1212.22,    473.13,    252.89,    155.12,     60.25,   1708.08,    712.69,    563.41,    385.70,    290.31,    216.00,    211.42,    108.39,     97.35,     45.53
196807,   1351.06,    393.92,    289.22,    147.82,     56.69,   1803.42,    891.62,    436.43,    352.07,    281.49,    296.22,    171.99,    128.61,     85.59,     44.78
196808,   1262.22,    477.17,    232.26,    151.47,     54.20,   1346.30,   1178.79,    564.20,    396.13,    256.11,    211.10,    180.53,    128.52,     67.67,     48.43
196809,   1258.27,    475.77,    246.81,    159.55,     56.53,   1385.11,   1128.43,    571.68,    383.52,    263.19,    232.16,    177.98,    143.85,     78.32,     46.75
196810,   1297.99,    465.54,    261.76,    172.52,     65.25,   1647.61,    925.82,    506.08,    423.12,    297.67,    226.36,    217.32,    131.22,     83.35,     56.22
196811,   1352.64,    430.44,    277.31,    161.73,     66.07,   1690.13,    995.94,    475.94,    384.58,    285.00,    269.87,    192.41,    137.15,     82.51,     58.14
196812,   1423.53,    453.33,    309.07,    155.73,     73.91,   1907.23,    895.49,    537.76,    374.33,    383.87,    240.68,    179.43,    137.59,    109.39,     57.73
196901,   1311.64,    494.87,    311.52,    152.60,     78.20,   1948.93,    659.31,    549.67,    441.63,    315.76,    307.50,    163.21,    143.23,    101.77,     64.74
196902,   1243.70,    467.19,    308.73,    162.45,     78.70,   1813.35,    661.31,    588.66,    355.98,    350.99,    270.53,    179.52,    147.18,    106.50,     62.96
196903,   1223.67,    413.55,    265.90,    167.15,     69.40,   1597.04,    805.85,    476.88,    350.23,    309.78,    224.26,    195.44,    144.11,     92.26,     55.99
196904,   1257.14,    406.61,    277.56,    195.98,     66.95,   1616.88,    842.72,    443.70,    368.43,    317.81,    240.83,    225.25,    171.42,     91.00,     53.79
196905,   1157.61,    514.44,    295.29,    180.22,     67.14,   1613.30,    692.02,    525.33,    503.95,    311.10,    280.81,    255.15,    117.48,     97.39,     50.95
196906,   1148.36,    511.80,    293.41,    194.94,     61.83,   1523.25,    742.92,    533.81,    491.32,    339.78,    252.16,    273.22,    134.31,     85.35,     50.29
196907,   1069.76,    501.86,    292.69,    145.27,     55.85,   1588.70,    543.52,    478.63,    523.59,    346.26,    243.26,    195.90,    105.38,     81.29,     44.36
196908,   1036.82,    415.03,    264.17,    147.09,     51.96,   1520.29,    539.43,    407.34,    422.77,    311.48,    218.06,    169.55,    127.47,     74.43,     41.02
196909,   1055.26,    465.30,    238.66,    149.51,     56.48,   1643.06,    455.05,    583.54,    347.06,    257.94,    219.74,    208.64,    100.86,     79.25,     45.11
196910,   1063.82,    403.38,    245.78,    138.21,     55.85,   1417.93,    704.76,    396.46,    409.92,    324.57,    175.60,    153.45,    125.08,     82.32,     42.06
196911,   1130.87,    436.83,    258.88,    147.65,     55.96,   1582.20,    644.09,    497.22,    380.08,    286.51,    231.42,    150.66,    145.18,     85.11,     42.23
196912,   1063.80,    464.50,    248.00,    142.62,     50.64,   1499.76,    596.24,    571.63,    370.85,    327.85,    177.77,    170.96,    118.50,     79.73,     38.44
197001,   1087.14,    491.22,    245.54,    126.06,     44.38,   1399.80,    765.55,    548.85,    432.36,    245.56,    245.52,    145.17,    109.96,     68.61,     33.99
197002,   1008.68,    416.73,    200.75,    128.67,     42.61,   1371.08,    617.81,    431.58,    402.37,    209.69,    192.84,    158.38,     99.27,     66.55,     31.78
197003,    966.54,    412.75,    231.46,    153.33,     51.65,   1366.84,    558.28,    497.88,    325.38,    262.59,    201.28,    189.74,    124.13,     83.36,     37.07
197004,    935.43,    413.90,    224.29,    160.72,     49.49,   1338.97,    523.98,    469.66,    364.52,    261.48,    187.10,    201.19,    125.01,     74.36,     37.80
197005,    902.83,    348.78,    223.20,    105.63,     38.36,   1309.58,    509.03,    355.51,    342.15,    228.10,    218.52,    123.55,     91.17,     66.68,     26.00
197006,    943.88,    296.19,    186.28,     93.37,     30.05,   1326.39,    548.45,    347.81,    247.94,    204.63,    168.77,     93.66,     93.07,     43.90,     24.60
197007,    896.91,    297.11,    146.34,     86.15,     29.80,   1276.81,    468.85,    328.07,    267.55,    171.66,    123.69,    115.59,     59.67,     48.08,     21.44
197008,    923.16,    322.54,    171.90,     95.68,     28.88,   1272.84,    519.67,    365.62,    281.92,    200.96,    143.35,    104.09,     87.31,     42.52,     21.88
197009,    917.31,    357.87,    189.86,     89.85,     31.92,   1289.75,    517.75,    424.07,    293.80,    217.36,    163.40,    105.28,     76.59,     46.11,     23.98
197010,    993.26,    384.96,    178.57,    106.32,     34.28,   1346.62,    576.35,    389.08,    381.09,    212.41,    148.72,    132.09,     84.34,     46.39,     26.69
197011,   1035.36,    408.83,    174.56,     82.81,     29.76,   1499.96,    541.32,    444.94,    371.97,    189.41,    160.12,    102.73,     64.40,     41.65,     23.23
197012,   1152.12,    374.38,    204.35,     85.11,     27.38,   1694.73,    601.93,    416.15,    335.65,    238.27,    169.62,    110.90,     60.95,     39.72,     20.61
197101,   1286.75,    389.50,    185.97,     95.72,     27.39,   1930.20,    620.32,    434.69,    351.21,    192.88,    179.25,    121.79,     74.17,     42.16,     19.70
197102,   1305.64,    439.34,    225.18,    108.43,     29.90,   1982.11,    638.70,    539.50,    349.39,    275.07,    177.67,    126.84,     91.73,     46.74,     21.96
197103,   1319.45,    447.62,    242.15,    121.50,     33.17,   1788.64,    811.45,    545.04,    359.51,    292.98,    196.49,    159.51,     86.92,     58.47,     22.44
197104,   1307.50,    533.77,    268.32,    122.61,     35.73,   1925.35,    662.78,    594.92,    472.63,    270.58,    265.98,    150.39,     98.35,     61.00,     25.62
197105,   1357.55,    460.71,    310.81,    140.08,     40.25,   2007.83,    639.32,    517.66,    404.57,    415.46,    217.17,    184.33,    103.21,     69.81,     28.18
197106,   1260.87,    471.58,    283.74,    130.87,     41.77,   1706.44,    765.78,    563.74,    372.64,    337.20,    232.22,    162.38,    104.03,     79.34,     28.59
197107,   1238.70,    475.60,    251.64,    131.73,     43.52,   1678.62,    764.47,    572.33,    382.14,    320.31,    192.44,    182.69,     91.44,     70.63,     31.00
197108,   1182.82,    441.57,    252.07,    109.84,     35.99,   1563.95,    788.90,    543.59,    351.89,    264.54,    240.86,    154.49,     76.78,     51.56,     28.58
197109,    993.82,    582.16,    336.39,    104.68,     37.71,   1423.94,    546.61,    616.49,    545.49,    432.76,    251.73,    149.60,     69.89,     51.92,     30.38
197110,   1034.74,    523.32,    357.90,    114.02,     33.77,   1373.96,    672.60,    722.92,    330.21,    501.50,    236.76,    137.73,     94.55,     53.66,     25.26
197111,   1025.49,    511.70,    299.27,    110.27,     32.59,   1285.12,    739.01,    638.71,    396.60,    401.73,    206.06,    138.93,     84.24,     50.60,     24.60
197112,   1195.86,    417.39,    232.86,    114.99,     34.78,   1741.45,    627.84,    479.92,    356.11,    257.92,    206.50,    135.78,     94.19,     55.83,     25.67
197201,   1307.35,    483.57,    265.18,    127.58,     40.52,   1740.39,    880.20,    555.92,    412.17,    314.10,    223.46,    158.73,    102.60,     61.07,     29.28
197202,   1389.08,    480.74,    271.35,    126.82,     43.10,   1838.28,    942.96,    570.05,    389.63,    278.37,    265.18,    156.80,    102.36,     72.82,     29.70
197203,   1414.41,    508.25,    294.65,    128.48,     43.69,   2007.39,    821.44,    621.00,    406.92,    344.24,    249.05,    147.56,    111.90,     69.61,     31.88
197204,   1338.75,    553.68,    303.02,    141.95,     43.73,   1857.68,    843.71,    715.47,    390.79,    413.08,    203.53,    153.54,    133.13,     71.47,     31.78
197205,   1321.97,    527.34,    342.44,    145.08,     42.27,   1782.96,    825.77,    617.82,    439.88,    454.50,    225.53,    161.84,    130.21,     66.12,     31.62
197206,   1364.53,    543.71,    293.30,    141.01,     42.36,   1832.53,    821.92,    591.32,    500.19,    321.81,    264.28,    157.43,    126.75,     67.34,     30.68
197207,   1341.29,    489.43,    265.25,    145.66,     43.04,   1911.36,    782.25,    520.82,    456.18,    286.04,    244.35,    177.49,    117.27,     71.16,     30.51
197208,   1253.51,    517.49,    256.61,    150.22,     48.21,   1806.79,    685.86,    614.76,    418.98,    294.23,    218.57,    182.42,    120.83,     67.27,     37.62
197209,   1200.54,    533.93,    307.94,    154.83,     48.40,   1500.55,    894.87,    576.51,    494.94,    403.67,    218.82,    194.51,    121.40,     68.07,     36.54
197210,   1212.74,    531.29,    284.96,    159.33,     46.34,   1423.96,   1005.44,    658.14,    415.08,    354.29,    225.48,    189.20,    133.23,     65.75,     35.98
197211,   1300.41,    495.14,    262.53,    147.11,     42.23,   1830.87,    789.11,    498.63,    491.76,    348.26,    177.74,    150.16,    144.08,     66.37,     31.09
197212,   1353.19,    567.82,    255.82,    123.79,     47.42,   1870.69,    845.28,    681.91,    457.82,    332.18,    190.64,    136.00,    114.61,     73.44,     34.89
197301,   1463.83,    565.83,    251.27,    132.45,     42.17,   2019.30,    925.41,    706.96,    429.02,    302.22,    203.32,    162.97,    109.60,     62.58,     30.81
197302,   1443.24,    559.63,    252.17,    109.64,     38.11,   2045.65,    813.80,    639.71,    481.95,    287.55,    215.80,    116.31,    104.19,     57.06,     28.27
197303,   1384.28,    481.50,    248.17,    118.45,     35.93,   1967.60,    797.31,    529.34,    437.51,    273.04,    223.57,    161.38,     82.50,     58.53,     23.79
197304,    605.36,    362.82,    132.70,     85.02,     27.80,    699.08,    458.27,    429.54,    301.68,    136.72,    128.79,    116.41,     63.75,     36.18,     23.73
197305,    571.73,    313.99,    138.07,     64.84,     26.83,    597.69,    527.69,    359.93,    275.22,    152.62,    125.61,     66.67,     63.17,     37.84,     21.76
197306,    528.09,    303.81,    135.57,     58.11,     21.07,    538.64,    511.34,    405.20,    216.34,    172.76,    103.49,     66.95,     50.62,     32.45,     15.57
197307,    539.02,    260.78,    112.55,     67.75,     19.95,    611.58,    418.62,    321.09,    208.19,    139.07,     88.62,     84.16,     53.40,     29.60,     14.75
197308,    528.52,    283.09,    155.85,     61.81,     22.56,    619.00,    375.60,    365.78,    209.14,    180.79,    133.91,     77.90,     48.90,     32.39,     16.87
197309,    471.83,    292.62,    147.23,     61.98,     21.37,    549.76,    330.13,    390.34,    205.22,    184.55,    112.23,     76.82,     48.80,     32.88,     16.03
197310,    460.36,    368.79,    149.84,     68.41,     23.11,    463.86,    453.17,    488.37,    256.39,    168.48,    130.00,     83.15,     55.12,     32.98,     18.51
197311,    436.33,    397.89,    158.86,     66.13,     23.33,    433.21,    442.49,    409.46,    387.87,    196.52,    119.96,     69.05,     63.17,     38.57,     16.78
197312,    447.31,    322.37,    129.40,     59.62,     18.59,    506.76,    345.85,    415.90,    232.47,    166.82,     94.48,     74.98,     46.24,     29.62,     13.52
197401,    517.66,    298.74,    107.50,     59.34,     19.44,    589.96,    401.56,    378.69,    227.47,    125.97,     92.53,     73.48,     45.74,     32.45,     13.67
197402,    494.72,    283.62,    121.65,     61.96,     20.25,    545.11,    409.40,    315.63,    249.83,    134.59,    108.42,     68.79,     55.71,     33.44,     14.07
197403,    489.67,    239.43,    138.57,     61.98,     22.19,    524.63,    432.02,    263.08,    212.59,    182.25,     94.76,     75.11,     49.95,     40.81,     13.71
197404,    444.44,    267.67,    137.33,     60.34,     22.20,    489.17,    362.84,    336.54,    205.99,    156.13,    117.43,     75.07,     46.84,     35.37,     15.44
197405,    453.04,    222.58,    108.96,     55.56,     21.21,    508.17,    345.70,    280.72,    174.10,    150.34,     77.19,     71.19,     42.15,     34.82,     13.94
197406,    427.49,    203.20,    104.64,     59.66,     19.24,    526.56,    265.35,    243.84,    167.00,     98.41,    111.58,     72.73,     46.66,     25.92,     15.30
197407,    420.70,    162.03,     95.62,     58.20,     20.40,    500.58,    275.24,    192.62,    129.61,    113.14,     77.34,     59.73,     56.65,     32.95,     12.42
197408,    356.41,    151.61,     95.04,     57.64,     21.60,    423.22,    245.65,    191.72,    116.58,     96.15,     93.93,     73.30,     44.62,     33.54,     14.60
197409,    326.18,    143.10,     81.15,     58.28,     16.81,    377.63,    238.24,    166.76,    121.39,     82.29,     80.09,     77.47,     43.89,     23.94,     12.74
197410,    278.51,    138.66,     82.64,     48.86,     16.12,    299.30,    238.41,    139.46,    137.86,     86.75,     78.44,     64.34,     35.03,     24.33,     10.61
197411,    285.41,    200.37,    109.95,     55.73,     19.40,    287.09,    281.98,    227.58,    176.08,    138.53,     84.32,     56.82,     54.65,     28.14,     13.17
197412,    286.69,    211.59,     91.54,     55.98,     16.30,    265.06,    330.42,    248.26,    173.97,     91.40,     91.70,     59.04,     53.30,     23.34,     11.59
197501,    330.44,    194.03,     94.13,     51.72,     12.49,    302.39,    385.08,    240.73,    147.18,     97.92,     90.55,     60.19,     44.71,     20.66,      8.04
197502,    426.22,    211.79,    101.76,     56.46,     14.45,    365.01,    531.81,    253.58,    168.56,    118.78,     84.54,     83.08,     38.87,     23.22,      9.13
197503,    485.03,    208.00,    105.44,     58.12,     14.96,    428.69,    581.30,    265.97,    155.16,    124.65,     87.42,     70.37,     47.16,     24.48,      8.87
197504,    438.91,    283.76,    116.34,     53.39,     16.72,    425.29,    463.88,    395.39,    171.76,    144.82,     88.20,     64.88,     44.67,     27.57,     10.73
197505,    455.88,    251.05,    123.24,     55.14,     18.24,    463.55,    442.32,    298.15,    204.61,    141.05,    107.03,     63.58,     47.24,     29.06,     11.52
197506,    474.67,    259.93,    130.47,     59.51,     19.11,    492.05,    439.91,    286.69,    235.11,    175.91,     92.41,     80.88,     42.44,     30.13,     12.77
197507,    485.23,    277.02,    142.68,     58.87,     20.05,    527.52,    402.67,    320.88,    227.95,    172.35,    112.41,     71.74,     48.34,     32.45,     13.43
197508,    492.41,    242.61,    123.32,     54.76,     17.83,    541.38,    401.58,    288.85,    199.90,    149.26,     95.92,     75.37,     41.22,     27.88,     12.48
197509,    480.33,    225.54,    118.32,     55.47,     16.22,    564.27,    319.19,    260.45,    193.91,    147.03,     91.29,     78.05,     38.80,     26.84,     11.12
197510,    420.22,    221.19,    134.52,     53.60,     17.02,    449.37,    364.93,    272.09,    177.21,    162.68,    109.95,     64.09,     44.15,     28.32,     10.98
197511,    418.25,    232.46,    136.90,     65.84,     17.31,    468.93,    321.76,    260.95,    204.42,    148.44,    124.56,     75.43,     57.20,     31.10,     10.98
197512,    459.02,    239.33,    135.55,     64.78,     15.06,    452.41,    472.18,    248.89,    230.02,    156.73,    111.76,     77.15,     54.08,     22.76,     10.83
197601,    481.51,    248.16,    145.41,     57.43,     15.06,    577.46,    311.14,    309.42,    179.59,    173.45,    116.63,     67.14,     49.07,     26.11,      9.66
197602,    611.26,    282.10,    156.00,     56.50,     18.22,    718.29,    438.69,    307.76,    253.27,    184.36,    128.65,     66.13,     48.84,     32.65,     11.19
197603,    634.49,    285.54,    131.42,     62.80,     18.73,    790.93,    411.51,    353.74,    214.02,    146.25,    119.27,     72.51,     55.06,     31.74,     13.14
197604,    653.63,    297.76,    142.16,     59.03,     19.97,    755.49,    490.22,    366.77,    211.97,    160.12,    126.04,     70.46,     49.67,     31.49,     14.94
197605,    639.71,    273.64,    128.07,     60.90,     19.64,    740.49,    485.56,    303.03,    241.83,    156.07,    102.39,     72.47,     50.08,     32.21,     14.15
197606,    608.04,    244.34,    153.49,     60.18,     20.63,    663.45,    496.79,    275.94,    210.87,    185.81,    128.51,     70.68,     48.82,     34.80,     14.19
197607,    571.49,    276.32,    142.00,     71.30,     21.51,    630.69,    459.51,    328.96,    224.55,    171.81,    113.43,     90.31,     55.01,     36.21,     15.49
197608,    558.07,    288.82,    156.13,     70.33,     23.65,    613.10,    440.48,    354.86,    228.40,    188.83,    124.23,     88.67,     55.01,     42.76,     14.79
197609,    567.32,    306.36,    155.53,     71.80,     21.37,    551.17,    599.03,    325.91,    281.36,    181.89,    131.08,     88.92,     55.41,     37.64,     13.63
197610,    607.12,    292.96,    150.41,     70.68,     20.19,    606.56,    608.10,    360.19,    232.18,    171.67,    127.93,     94.12,     50.53,     36.62,     13.43
197611,    565.71,    300.98,    149.76,     67.19,     20.73,    638.38,    439.92,    349.28,    251.83,    171.82,    129.25,     99.92,     42.79,     40.68,     13.02
197612,    574.77,    269.62,    153.38,     68.88,     20.97,    609.60,    502.37,    329.83,    213.42,    170.65,    134.76,     77.31,     60.83,     33.38,     14.92
197701,    654.95,    282.35,    160.27,     76.98,     21.23,    723.27,    531.40,    339.93,    225.77,    182.08,    138.38,     85.80,     68.59,     38.63,     13.92
197702,    643.08,    317.84,    147.37,     68.66,     20.77,    752.29,    463.56,    383.17,    254.18,    172.00,    126.62,     73.54,     63.66,     34.62,     15.16
197703,    628.79,    336.90,    136.02,     66.25,     19.32,    697.91,    507.46,    388.61,    282.89,    160.37,    116.48,     87.92,     48.63,     29.55,     15.23
197704,    560.31,    324.53,    163.81,     63.01,     20.93,    606.30,    476.21,    339.34,    309.16,    201.57,    129.60,     84.97,     44.85,     31.70,     16.04
197705,    550.20,    319.26,    161.86,     68.33,     20.89,    594.66,    473.13,    321.07,    317.27,    207.51,    122.74,     74.99,     62.57,     35.09,     14.61
197706,    562.55,    259.57,    177.31,     69.06,     21.22,    602.38,    494.04,    298.52,    222.25,    248.63,    110.51,     85.68,     56.85,     32.61,     15.31
197707,    549.07,    334.63,    176.78,     72.74,     23.02,    642.56,    386.78,    380.54,    283.88,    200.95,    151.40,     92.52,     55.76,     35.05,     16.56
197708,    549.85,    350.27,    159.37,     70.31,     23.44,    585.40,    484.10,    401.01,    305.20,    190.74,    128.65,     94.86,     52.35,     41.15,     15.53
197709,    520.26,    334.36,    169.77,     71.97,     24.03,    519.03,    522.88,    387.14,    284.05,    186.12,    154.47,     90.10,     56.72,     42.63,     15.93
197710,    513.86,    338.68,    175.16,     70.19,     25.06,    563.41,    424.28,    448.89,    231.84,    200.50,    150.59,     88.24,     55.51,     41.71,     16.51
197711,    513.63,    267.31,    169.72,     66.00,     22.91,    499.43,    542.20,    291.07,    244.68,    189.58,    149.66,     76.97,     55.59,     34.86,     16.12
197712,    539.88,    306.23,    142.45,     71.02,     23.32,    594.71,    437.74,    353.53,    256.09,    170.91,    117.65,     89.40,     55.76,     34.54,     16.62
197801,    554.85,    319.26,    141.05,     72.86,     21.72,    590.33,    486.82,    379.80,    263.26,    177.86,    107.57,     92.56,     58.76,     32.55,     15.85
197802,    534.35,    281.65,    137.72,     65.70,     22.13,    556.50,    492.07,    356.52,    205.68,    155.53,    119.99,     77.45,     56.47,     34.18,     16.11
197803,    522.44,    264.57,    151.31,     60.76,     23.48,    457.27,    675.93,    292.19,    237.47,    179.28,    126.16,     81.54,     48.76,     35.51,     17.37
197804,    512.92,    311.29,    150.87,     61.15,     25.70,    468.26,    617.53,    324.04,    297.25,    186.34,    120.93,     79.50,     47.04,     34.14,     20.59
197805,    565.09,    341.79,    177.41,     64.34,     26.84,    637.54,    433.95,    360.44,    321.39,    233.01,    125.09,     80.10,     51.71,     39.16,     19.92
197806,    565.02,    339.91,    203.12,     78.56,     29.79,    680.70,    386.80,    392.17,    287.26,    268.63,    144.64,     94.73,     63.93,     48.31,     20.27
