This file was created by CMPT_VAR_RETS using the 201712 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on VAR.

The portfolios are constructed at the end of each month.

The residual return variance is measured over 60 days up to formation monthend requiring at least 20 non-missing daily returns.  
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weighted Returns -- Monthly
,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
197001,   -6.24,   -7.38,   -9.49,  -10.52,   -9.64,   -6.26,   -6.20,   -6.69,   -8.27,   -8.84,  -10.09,  -10.26,  -10.81,  -10.31,   -9.06
197002,    5.34,    6.08,    7.05,    6.91,    2.65,    5.40,    5.20,    7.23,    4.90,    7.24,    6.86,    7.11,    6.60,    4.19,    1.20
197003,    0.31,    0.62,   -1.08,   -2.60,   -5.18,    1.35,   -2.28,    1.62,   -0.96,   -0.14,   -2.26,   -2.14,   -3.16,   -4.58,   -5.80
197004,   -8.18,   -9.16,  -13.10,  -14.39,  -19.94,   -8.24,   -8.02,   -8.50,   -9.92,  -11.97,  -14.68,  -13.18,  -16.10,  -17.20,  -22.48
197005,   -5.51,   -5.60,   -7.18,   -8.66,  -12.01,   -5.63,   -5.21,   -5.58,   -5.62,   -7.98,   -6.38,   -7.48,   -9.96,  -11.03,  -13.10
197006,   -4.21,   -4.41,   -5.39,   -9.31,  -11.95,   -4.52,   -3.42,   -2.94,   -6.34,   -3.94,   -7.06,   -8.84,   -9.80,  -12.01,  -11.91
197007,    7.27,    7.20,    9.27,    7.34,    6.67,    7.52,    6.50,    5.68,    8.98,   10.36,    7.92,    7.11,    7.74,    9.52,    3.74
197008,    4.34,    3.97,    6.35,    8.16,    9.34,    4.54,    3.80,    3.43,    4.64,    4.88,    8.37,    6.26,   10.41,   10.38,    8.30
197009,    2.29,    4.37,    7.05,   10.38,   17.80,    1.82,    3.54,    3.66,    5.35,    6.28,    8.04,    9.63,   11.27,   15.20,   20.59
197010,   -0.43,   -0.87,   -3.25,   -6.35,  -10.12,   -0.55,   -0.07,   -0.15,   -1.56,   -2.90,   -3.68,   -4.76,   -8.48,   -8.60,  -11.77
197011,    5.99,    4.59,    4.81,    3.76,   -0.98,    6.30,    5.07,    4.33,    4.91,    4.68,    4.95,    3.78,    3.73,    0.58,   -2.53
197012,    5.36,    7.28,    6.72,    8.76,    6.38,    5.46,    5.08,    6.66,    8.01,    6.67,    6.79,    7.70,   10.56,    9.03,    3.58
197101,    3.46,    5.91,    7.09,   11.45,   13.24,    2.94,    5.12,    4.23,    7.66,    6.10,    8.13,   10.21,   13.14,   11.62,   15.04
197102,    1.11,    1.92,    2.78,    2.96,    4.13,    1.00,    1.43,    2.03,    1.76,    1.79,    4.23,    3.23,    2.62,    3.29,    4.97
197103,    4.13,    3.76,    5.77,    5.58,    6.03,    4.18,    3.99,    3.64,    3.92,    5.80,    5.74,    4.82,    6.85,    6.17,    5.88
197104,    3.19,    2.86,    4.89,    5.49,    3.34,    2.69,    4.69,    2.02,    3.91,    4.47,    5.33,    5.43,    5.57,    3.09,    3.58
197105,   -3.96,   -2.77,   -2.61,   -4.52,   -5.65,   -4.20,   -3.15,   -2.96,   -2.55,   -2.99,   -1.97,   -3.93,   -5.40,   -5.17,   -6.15
197106,    0.80,    0.98,   -0.06,   -0.92,   -3.85,    0.43,    1.73,    0.49,    1.77,    0.76,   -1.21,   -0.34,   -1.69,   -3.72,   -3.97
197107,   -3.30,   -3.75,   -4.24,   -6.50,   -9.06,   -3.29,   -3.32,   -3.19,   -4.56,   -4.06,   -4.51,   -6.50,   -6.49,   -8.40,   -9.75
197108,    3.87,    3.65,    4.86,    6.69,    5.98,    3.96,    3.68,    3.99,    3.19,    3.98,    5.72,    6.96,    6.29,    8.40,    3.90
